受渡日,銘柄コード,銘柄名,商品,口座,数量,受取額（税引後）
2025-06-27,7203,トヨタ自動車,国内株式,特定,300,24000
2025-06-27,9433,KDDI,国内株式,NISA（成長投資枠）,100,14000
2025-06-27,9432,NTT,国内株式,特定,1000,8500
2025-07-15,9302,たわらノーロード先進国リート,投資信託,NISA（つみたて投資枠）,5000,3200
2025-09-26,2914,日本たばこ産業,国内株式,一般,200,16000
2025-12-25,7203,トヨタ自動車,国内株式,特定,300,27000
2025-12-25,9433,KDDI,国内株式,NISA（成長投資枠）,100,14500
2025-12-25,9432,NTT,国内株式,特定,1000,8800
2026-01-15,9302,たわらノーロード先進国リート,投資信託,NISA（つみたて投資枠）,5000,3400
2026-03-27,2914,日本たばこ産業,国内株式,一般,200,15500
2026-06-26,7203,トヨタ自動車,国内株式,特定,300,28500
2026-06-26,9433,KDDI,国内株式,NISA（成長投資枠）,100,15000
2026-06-26,9432,NTT,国内株式,特定,1000,9000
